INPUT 1,INPUT 2,INPUT 3,INPUT 4,INPUT 5,INPUT 6,INPUT 7,INPUT 8,OUTPUT 1
-1.3030696,2.93254,-0.1680418,-1.2202414,-1.9426485,0.9504179,1.5404594,1.8448068,7.0
0.081118286,-3.7473905,-0.598895,1.5634954,-0.19996828,-1.8449761,1.0958493,0.90919876,2.0
-3.7099557,-1.6895816,0.2594969,1.0200609,-2.0945628,0.34463927,-0.094223954,-0.4308825,1.0
4.8388057,0.4429013,0.9953135,-0.38526088,-0.81806916,-1.9040253,2.7276661,0.2996707,0.0
0.742222,2.8022766,-1.1447626,2.4758449,-0.5859517,0.8806926,-1.9429442,0.93042606,4.0
-4.00502,-1.9013314,0.31377336,0.23660377,-1.2532183,1.0253187,0.38319826,-0.48888358,1.0
-0.99891436,2.1648123,-1.8201199,-0.17195821,-0.34904414,0.7188355,-0.66831416,0.6000716,4.0
-1.2474806,1.3617628,-1.5284859,0.86119366,0.40310788,-1.4908315,-1.2173926,-0.7751486,9.0
1.0287192,0.55726844,1.025243,1.4785572,-0.2097644,0.016898215,-0.14731652,-1.0213023,5.0
-0.12159261,3.2817173,2.1078234,-1.8420346,-0.033484712,1.1138772,0.96350217,-0.50159156,9.0
4.4138513,-2.3967211,-1.847909,0.50137615,-3.1577437,1.5716902,-0.9046771,-1.6264832,0.0
1.310924,-0.7622107,-0.7709187,2.395788,-1.0518807,1.0001074,0.20544891,-0.6185542,6.0
-0.6625435,3.8954048,0.49697834,-1.1740862,0.76926076,-0.8700527,-0.65930414,-0.46358043,9.0
4.1149626,0.12941067,-1.1784371,0.21550071,-1.6247973,0.67361104,-0.7182942,-2.4416757,0.0
-3.4438734,-1.571127,0.18901289,-0.22407573,-1.2495538,-1.5410414,2.1868262,-0.88140625,1.0
0.4356302,-1.5256127,-2.9292936,0.7805184,-1.913475,-0.17756504,-0.5283919,-0.26246703,5.0
0.67903054,3.4694915,-1.6896048,1.1685936,0.45643237,0.5877796,-0.5305045,0.3066075,9.0
-0.0657787,2.642308,-1.3729298,-1.0326324,-1.7663844,-0.2037782,1.778388,2.690621,7.0
0.30931696,-1.3941965,-2.721311,1.5411463,0.3816685,-1.1594282,1.4049935,0.29741514,3.0
-0.9489096,2.5936937,-1.0853257,0.58627284,0.41462612,-0.48200542,-2.8009813,0.6209345,4.0
-1.428402,1.8149195,1.4664645,-3.3966162,0.2654691,0.37540746,0.9241942,0.62127066,9.0
